activity_id,name,description,type,course_id,laps,sport,sub_sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,moving_time,distance,cycles,avg_hr,max_hr,avg_rr,max_rr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,max_temperature,min_temperature,avg_temperature,start_lat,start_long,stop_lat,stop_long,hr_zones_method,hrz_1_hr,hrz_2_hr,hrz_3_hr,hrz_4_hr,hrz_5_hr,hrz_1_time,hrz_2_time,hrz_3_time,hrz_4_time,hrz_5_time
10417793557,"Rowing 1 on 2 soft",,uncategorized,,4,fitness_equipment,indoor_rowing,0.3,0.0,"2023-01-31 12:12:47.000000","2023-01-31 12:15:56.000000",00:03:03.608000,00:03:03.608000,0.0,80.0,126,131,,,35,27,37,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:00.000000,00:03:01.733000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10327052644,"Indoor Cycling",,uncategorized,,1,cycling,indoor_cycling,0.2,0.0,"2023-01-17 11:05:34.000000","2023-01-17 11:12:55.000000",00:07:16.715000,00:07:16.715000,0.0,,107,122,,,58,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:04:30.000000,00:01:02.998000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10456646396,"Delhi Running",,uncategorized,,4,running,generic,2.6,0.1,"2023-02-06 10:55:08.000000","2023-02-06 11:38:46.000000",00:41:41.655000,00:41:41.655000,3.137402608192,3015.0,150,170,,,526,71,83,4.51413659626961,6.32381785440254,252.6246723,400.2624678,260.6,,260.6,39.1082528885454,-84.6425868943334,39.1085574030876,-84.6431266050786,max_heart_rate,99,119,139,158,178,00:00:08.001000,00:06:15.000000,00:18:12.995000,00:16:26.936000,00:00:00.000000
10425484203,"Rowing 1 on 2 soft",,uncategorized,,8,fitness_equipment,indoor_rowing,0.9,0.0,"2023-02-01 14:24:58.000000","2023-02-01 14:34:28.000000",00:09:14.294000,00:09:14.294000,0.0,261.0,125,143,,,103,28,40,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:01:34.001000,00:06:50.635000,00:00:22.974000,00:00:00.000000,00:00:00.000000
10629165172,"Indoor Cycling",,uncategorized,,1,cycling,indoor_cycling,1.5,0.0,"2023-03-04 11:58:09.000000","2023-03-04 12:29:13.000000",00:30:14.966000,00:30:14.966000,0.0,,125,134,,,297,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:04:20.001000,00:25:31.117000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10748553235,Run,,uncategorized,,3,running,treadmill,2.7,0.0,"2023-03-22 13:24:48.000000","2023-03-22 13:40:09.000000",00:15:10.224000,00:15:10.224000,1.212115013552,1077.0,153,178,,,212,71,80,4.79375359626961,6.05314901653099,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:10.641000,00:01:10.002000,00:02:40.997000,00:08:06.002000,00:01:06.960000
10386089642,"Indoor Cycling",,uncategorized,,1,cycling,indoor_cycling,2.1,0.0,"2023-01-26 12:41:31.000000","2023-01-26 13:21:49.000000",00:11:43.390000,00:11:43.390000,0.0,,135,156,,,154,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:40.279000,00:04:47.110000,00:06:16.001000,00:00:00.000000,00:00:00.000000
10740686615,"Delhi - Run",,uncategorized,,4,running,generic,2.9,0.0,"2023-03-21 11:35:47.000000","2023-03-21 11:56:58.000000",00:20:53.108000,00:20:53.108000,1.749048081184,1513.0,152,171,,,295,72,79,5.02415837119865,5.67734380693054,265.7480319,154.1994753,260.6,,260.6,39.1088072676212,-84.6429614815861,39.1085306648165,-84.6431423630565,max_heart_rate,99,119,139,158,178,00:00:15.999000,00:00:40.000000,00:03:12.995000,00:14:24.993000,00:00:00.000000
10411171451,"Treadmill Running",,uncategorized,,2,running,treadmill,2.5,0.0,"2023-01-30 12:08:13.000000","2023-01-30 12:20:51.000000",00:12:26.290000,00:12:26.290000,1.006285803552,976.0,162,172,,,204,77,82,4.85415129066467,5.05100125760269,,,260.6,,260.6,,,,,max_heart_rate,99,119,139,158,178,00:00:33.048000,00:00:12.000000,00:01:03.000000,00:10:38.239000,00:00:00.000000
10571176339,"Delhi - Run",,uncategorized,,5,running,generic,2.5,0.0,"2023-02-23 14:13:31.000000","2023-02-23 15:00:15.000000",00:46:17.959000,00:46:17.959000,3.247111907264,3177.0,146,168,,,535,68,82,4.20767670986557,5.88537870986557,314.9606304,383.8582683,260.6,,260.6,39.1084009967744,-84.6431005373597,39.1084127314389,-84.6430556941777,max_heart_rate,99,119,139,158,178,00:00:59.000000,00:12:11.051000,00:19:39.205000,00:13:07.999000,00:00:00.000000
