day,hr_avg,hr_min,hr_max,rhr,inactive_hr,weight,intensity_time,moderate_activity_time,vigorous_activity_time,steps,steps_goal_percent,floors,floors_goal_percent,sleep_avg,rem_sleep_avg,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_consumed_avg,calories_goal,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,sweat_loss_avg,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2023-04-03,73.8,43.0,166.0,45.0,60.5,,01:02:00.000000,00:06:00.000000,00:28:00.000000,13690,121.0,0.0,0.0,09:02:00.000000,02:00:00.000000,29.0,3473.0,2620.0,853.0,0.0,2274.0,1,443.0,2.6,100.0,0.0,10.0,,,14.0,26.0,12.0,98.0,14.0
2023-04-02,69.8,44.0,107.0,46.0,61.3,245.8,00:00:00.000000,00:00:00.000000,00:00:00.000000,9722,85.0,0.0,0.0,08:40:00.000000,00:39:00.000000,28.0,3028.0,2620.0,408.0,0.0,2274.0,,,,100.0,,,,,13.0,23.0,10.0,75.0,5.0
2023-04-01,76.8,47.0,161.0,48.0,59.9,246.0,01:09:00.000000,00:13:00.000000,00:28:00.000000,13059,119.0,0.0,0.0,08:55:00.000000,00:44:00.000000,32.0,3635.0,2621.0,1014.0,,2274.0,2,455.0,0.7,100.0,0.0,8.0,,,13.0,26.0,10.0,70.0,5.0
2023-03-31,77.3,45.0,165.0,47.0,60.4,,01:05:00.000000,00:05:00.000000,00:30:00.000000,15244,153.0,0.0,0.0,09:36:00.000000,01:35:00.000000,33.0,3846.0,2613.0,1233.0,510.0,2274.0,1,398.0,0.0,100.0,0.0,6.0,,,13.0,27.0,10.0,83.0,5.0
2023-03-30,71.4,45.0,175.0,49.0,63.2,,01:13:00.000000,00:09:00.000000,00:32:00.000000,12346,128.0,0.0,0.0,09:20:00.000000,01:31:00.000000,33.0,3336.0,2613.0,723.0,,2274.0,2,501.0,1.4,100.0,0.0,7.0,,,14.0,24.0,9.0,69.0,5.0
2023-03-29,70.4,52.0,155.0,51.0,69.7,244.6,01:01:00.000000,00:01:00.000000,00:30:00.000000,6450,64.0,0.0,0.0,07:41:00.000000,00:58:00.000000,36.0,3065.0,2613.0,452.0,2410.0,2274.0,1,452.0,2.5,100.0,0.0,7.0,,,14.0,24.0,10.0,46.0,5.0
2023-03-28,71.5,45.0,168.0,48.0,63.4,243.4,01:46:00.000000,00:02:00.000000,00:52:00.000000,13016,135.0,0.0,0.0,08:46:00.000000,01:59:00.000000,31.0,3555.0,2607.0,948.0,0.0,2274.0,2,689.0,2.2,100.0,0.0,11.0,,,13.0,22.0,10.0,72.0,9.0
2023-03-27,72.5,46.0,168.0,48.0,57.4,242.4,00:49:00.000000,00:13:00.000000,00:18:00.000000,9145,93.0,0.0,0.0,07:49:00.000000,00:48:00.000000,31.0,3221.0,2602.0,619.0,0.0,2274.0,1,319.0,0.0,100.0,0.0,6.0,,,13.0,24.0,10.0,74.0,9.0
2023-03-26,71.0,42.0,115.0,43.0,59.3,242.6,00:00:00.000000,00:00:00.000000,00:00:00.000000,9096,91.0,0.0,0.0,07:39:00.000000,01:10:00.000000,29.0,3232.0,2602.0,630.0,0.0,2274.0,,,,100.0,,,,,13.0,24.0,11.0,95.0,10.0
2023-03-25,71.7,46.0,162.0,47.0,61.0,243.8,00:59:00.000000,00:03:00.000000,00:28:00.000000,8169,80.0,0.0,0.0,06:16:00.000000,00:15:00.000000,34.0,3188.0,2609.0,579.0,0.0,2820.0,1,431.0,2.3,100.0,0.0,6.0,,,13.0,24.0,10.0,66.0,5.0
